naslov,autor,ilustrator
The Importance of Being Earnest,Oscar Wilde,
Their Eyes Were Watching God,Zora Neale Hurston,
The Three Musketeers,Alexandre Dumas,
The Wonderful Wizard of Oz,W.W. Denslow,
Frostbite,Richelle Mead,
Goodnight Moon,Clement Hurd,
The Lorax,Dr. Seuss,
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Neil Gaiman,
Blood Promise,Richelle Mead,
Tess of the D'Urbervilles,Tim Dolin,
Heart of Darkness,Aníbal Fernandes,
The Good Earth,Pearl S. Buck,
The Battle of the Labyrinth,Rick Riordan,
Clockwork Princess,Cassandra Clare,
A Midsummer Night's Dream,Catherine Belsey,
The Prophet,Kahlil Gibran,
The Mists of Avalon,Marion Zimmer Bradley,
The Titan's Curse,Rick Riordan,
The Sea of Monsters,Rick Riordan,
The Joy Luck Club,Amy Tan,
Alice in Wonderland,Rene Cloke,
The Call of the Wild,Avi,
Jonathan Livingston Seagull,Russell Munson,
Madame Bovary,Margaret Mauldon,
The Phantom Tollbooth,Jules Feiffer,
Bridge to Terabithia,Katherine Paterson,
The Hunger Games Trilogy Boxset,Peter Klöss,
"Oh, the Places You'll Go!",Dr. Seuss,
The Maze Runner,James Dashner,
The Girl Who Played with Fire,Reg Keeland,
Oliver Twist,吴倩卓,
The Neverending Story,Roswitha Quadflieg,
Ulysses,John M. Woolsey,
Treasure Island,Richard S. Hartmetz,
Fifty Shades of Grey,E.L. James,
The Clan of the Cave Bear,Jean M. Auel,
A Storm of Swords,George R.R. Martin,
The Canterbury Tales,Nevill Coghill,
The World According to Garp,John Irving,
A Farewell to Arms,نجف دریابندری,
David Copperfield,Jeremy Tambling,
Tote Mädchen lügen nicht,Knut Krüger,
Wicked: The Life and Times of the Wicked Witch of the West,Douglas Smith,
Shōgun,James Clavell,
Extremely Loud &amp; Incredibly Close,Jonathan Safran Foer,
Murder on the Orient Express,Agatha Christie,
His Dark Materials,Philip Pullman,
A Little Princess,Nancy Bond,
The Other Boleyn Girl,Philippa Gregory,
Schindler's List,Thomas Keneally,
The Boy in the Striped Pajamas,John Boyne,
The Night Circus,Matthias Brandt,
Jurassic Park,Michael Crichton,
Fallen,Lauren Kate,
Last Sacrifice,Richelle Mead,
The Silmarillion,Ted Nasmith,
The Secret Magdalene,Ki Longfellow,
Beloved,Toni Morrison,
The Selection,Kiera Cass,
The Trial,Edwin Muir,
A Confederacy of Dunces,Walker Percy,
The Sun Also Rises,Ernest Hemingway,
The Velveteen Rabbit,William   Nicholson,
Catching Fire,Suzanne Collins,
The Lost Hero,Rick Riordan,
Throne of Glass,Sarah J. Maas,
Spirit Bound,Richelle Mead,
Clockwork Prince,Cassandra Clare,
The Iliad/The Odyssey,Bernard Knox,
The Crucible,Christopher Bigsby,
Cat's Cradle,Kurt Vonnegut Jr.,
The God of Small Things,Josep Julià Ballbé,
The Wind in the Willows,Gillian Avery,
The Screwtape Letters,C.S. Lewis,
Girl with a Pearl Earring,Tracy Chevalier,
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Elizabeth Sherrill,
A Light in the Attic,Shel Silverstein,
Shiver,Maggie Stiefvater,
The Silence of the Lambs,Thomas  Harris,
City of Fallen Angels,Cassandra Clare,
Uglies,Scott Westerfeld,
Man's Search for Meaning,Isle Lasch,
She's Come Undone,Wally Lamb,
Ella Enchanted,Gail Carson Levine,
Marley and Me: Life and Love With the World's Worst Dog,John Grogan,
The Phantom of the Opera,Alexander Teixeira de Mattos,
The Wind-Up Bird Chronicle,Jay Rubin,
Cinder,Marissa Meyer,
The Green Mile,Stephen King,
A Clash of Kings,George R.R. Martin,
Blindness,Giovanni Pontiero,
